0,1716994838.4012492,[821.03669898],0
0,1716995729.5620384,[885.84933844],0
0,1716996055.5677161,[819.09818973],0
0,1716996189.2843695,[821.55782553],0
0,1716996688.5966802,[821.5857234],0
0,1716997235.5135198,[740.00051985],0
0,1716997267.0916631,[740.32498339],0
0,1716997278.1176174,[744.13338316],0
0,1716997311.2191107,[744.77132318],0
0,1716997764.8134942,[744.69057897],0
0,1716997783.4946368,[740.07939457],0
0,1716997786.8977833,[744.01005203],0
0,1716997794.5251763,[744.99924689],0
0,1716997941.3797631,[743.99198559],0
0,1716998029.6429174,[744.4448288],0
0,1716998089.1308067,[739.96690049],0
